variable,question,value,value_label
CC24_361b,Party Registration,4,Other
CC24_361b,Party Registration,5,Not sure
CC24_361b,Party Registration,8,skipped
CC24_361b,Party Registration,9,not asked
CC24_360_t,Party Registration - other text,NA,NA
presvote20post,2020 President Vote Post Election,1,Joe Biden
presvote20post,2020 President Vote Post Election,2,Donald Trump
presvote20post,2020 President Vote Post Election,3,Jo Jorgensen
presvote20post,2020 President Vote Post Election,4,Howie Hawkins
presvote20post,2020 President Vote Post Election,5,Other
presvote20post,2020 President Vote Post Election,6,Did not vote for President
presvote20post,2020 President Vote Post Election,8,skipped
presvote20post,2020 President Vote Post Election,9,not asked
presvote20post_t,2020 President Vote Post Election - open,NA,NA
CC24_363,Vote Intention,1,"Yes, definitely"
CC24_363,Vote Intention,2,Probably
CC24_363,Vote Intention,3,I already voted (early or absentee)
CC24_363,Vote Intention,4,I plan to vote before November 5th
CC24_363,Vote Intention,5,No
CC24_363,Vote Intention,6,Undecided
CC24_363,Vote Intention,8,skipped
CC24_363,Vote Intention,9,not asked
CC24_364a,Pres vote,1,Kamala Harris (Democrat)
CC24_364a,Pres vote,2,Donald Trump (Republican)
CC24_364a,Pres vote,3,Someone else
CC24_364a,Pres vote,4,I'm not sure
CC24_364a,Pres vote,5,I didn't vote in this election
CC24_364a,Pres vote,8,skipped
CC24_364a,Pres vote,9,not asked
CC24_365_voted,Senate vote,1,$SenCand1Name ($SenCand1Party)
CC24_365_voted,Senate vote,2,$SenCand2Name ($SenCand2Party)
CC24_365_voted,Senate vote,3,$SenCand3Name ($SenCand3Party)
CC24_365_voted,Senate vote,7,Other
CC24_365_voted,Senate vote,8,I'm not sure
CC24_365_voted,Senate vote,9,I didn't vote in this election
CC24_365_voted,Senate vote,98,skipped
CC24_365_voted,Senate vote,99,not asked
CC24_365_voted_t,Senate vote - open,NA,NA
CC24_365b_voted,Senate vote 2nd race,1,$SenCand1Name2 ($SenCand1Party2)
CC24_365b_voted,Senate vote 2nd race,2,$SenCand2Name2 ($SenCand2Party2)
CC24_365b_voted,Senate vote 2nd race,7,Other
CC24_365b_voted,Senate vote 2nd race,8,I'm not sure
CC24_365b_voted,Senate vote 2nd race,9,I didn't vote in this election
CC24_365b_voted,Senate vote 2nd race,98,skipped
CC24_365b_voted,Senate vote 2nd race,99,not asked
CC24_365b_voted_t,Senate vote 2nd race - open,NA,NA
CC24_366_voted,Governor vote,1,$GovCand1Name ($GovCand1Party)
CC24_366_voted,Governor vote,2,$GovCand2Name ($GovCand2Party)
CC24_366_voted,Governor vote,7,Other
CC24_366_voted,Governor vote,8,I'm not sure
CC24_366_voted,Governor vote,9,I didn't vote in this election
CC24_366_voted,Governor vote,98,skipped
CC24_366_voted,Governor vote,99,not asked
CC24_366_voted_t,Governor vote - open,NA,NA
CC24_367_voted,House vote,1,$HouseCand1Name ($HouseCand1Party)
CC24_367_voted,House vote,2,$HouseCand2Name ($HouseCand2Party)
CC24_367_voted,House vote,3,$HouseCand3Name ($HouseCand3Party)
CC24_367_voted,House vote,4,$HouseCand4Name ($HouseCand4Party)
CC24_367_voted,House vote,5,$HouseCand5Name ($HouseCand5Party)
CC24_367_voted,House vote,10,Other
CC24_367_voted,House vote,98,I'm not sure
CC24_367_voted,House vote,99,I didn't vote in this election
CC24_367_voted,House vote,998,skipped
CC24_367_voted,House vote,999,not asked
CC24_367_voted_t,House vote - open,NA,NA
CC24_364b,Pres preference,1,Kamala Harris (Democrat)
CC24_364b,Pres preference,2,Donald Trump (Republican)
CC24_364b,Pres preference,3,Other
CC24_364b,Pres preference,4,I won't vote in this election
CC24_364b,Pres preference,5,I'm not sure
CC24_364b,Pres preference,8,skipped
CC24_364b,Pres preference,9,not asked
CC24_365,Senate preference,1,$SenCand1Name ($SenCand1Party)
CC24_365,Senate preference,2,$SenCand2Name ($SenCand2Party)
CC24_365,Senate preference,3,$SenCand3Name ($SenCand3Party)
CC24_365,Senate preference,7,Other
CC24_365,Senate preference,8,I'm not sure
CC24_365,Senate preference,9,No one
CC24_365,Senate preference,98,skipped
CC24_365,Senate preference,99,not asked
CC24_365_t,Senate preference - open,NA,NA
CC24_365a,Senate second preference,1,$SenCand1Name ($SenCand1Party)
CC24_365a,Senate second preference,2,$SenCand2Name ($SenCand2Party)
CC24_365a,Senate second preference,3,$SenCand3Name ($SenCand3Party)
CC24_365a,Senate second preference,7,Other
CC24_365a,Senate second preference,8,I'm not sure
CC24_365a,Senate second preference,9,No one
CC24_365a,Senate second preference,98,skipped
CC24_365a,Senate second preference,99,not asked
CC24_365a_t,Senate second preference - open,NA,NA
CC24_365b,Senate preference 2nd race,1,$SenCand1Name2 ($SenCand1Party2)
CC24_365b,Senate preference 2nd race,2,$SenCand2Name2 ($SenCand2Party2)
CC24_365b,Senate preference 2nd race,7,Other
CC24_365b,Senate preference 2nd race,8,I'm not sure
CC24_365b,Senate preference 2nd race,9,No one
CC24_365b,Senate preference 2nd race,98,skipped
CC24_365b,Senate preference 2nd race,99,not asked
CC24_365b_t,Senate preference 2nd race - open,NA,NA
CC24_365c,Senate second preference 2nd race,1,$SenCand1Name2 ($SenCand1Party2)
CC24_365c,Senate second preference 2nd race,2,$SenCand2Name2 ($SenCand2Party2)
CC24_365c,Senate second preference 2nd race,7,Other
CC24_365c,Senate second preference 2nd race,8,I'm not sure
CC24_365c,Senate second preference 2nd race,9,No one
CC24_365c,Senate second preference 2nd race,98,skipped
CC24_365c,Senate second preference 2nd race,99,not asked
CC24_365c_t,Senate second preference 2nd race - open,NA,NA
CC24_366,Governor preference,1,$GovCand1Name ($GovCand1Party)
CC24_366,Governor preference,2,$GovCand2Name ($GovCand2Party)
CC24_366,Governor preference,3,$GovCand3Name ($GovCand3Party)
CC24_366,Governor preference,7,Other
CC24_366,Governor preference,8,I'm not sure
CC24_366,Governor preference,9,No one
CC24_366,Governor preference,98,skipped
CC24_366,Governor preference,99,not asked
CC24_366_t,Governor preference - open,NA,NA
CC24_367,House preference,1,$HouseCand1Name ($HouseCand1Party)
CC24_367,House preference,2,$HouseCand2Name ($HouseCand2Party)
CC24_367,House preference,3,$HouseCand3Name ($HouseCand3Party)
CC24_367,House preference,4,$HouseCand4Name ($HouseCand4Party)
CC24_367,House preference,5,$HouseCand5Name ($HouseCand5Party)
CC24_367,House preference,10,Other
CC24_367,House preference,98,I'm not sure
CC24_367,House preference,99,No one
CC24_367,House preference,998,skipped
CC24_367,House preference,999,not asked
CC24_367_t,House preference - open,NA,NA
CC24_367a,House second choice,1,$HouseCand1Name ($HouseCand1Party)
CC24_367a,House second choice,2,$HouseCand2Name ($HouseCand2Party)
CC24_367a,House second choice,3,$HouseCand3Name ($HouseCand3Party)
CC24_367a,House second choice,4,$HouseCand4Name ($HouseCand4Party)
CC24_367a,House second choice,5,$HouseCand5Name ($HouseCand5Party)
CC24_367a,House second choice,10,Other
CC24_367a,House second choice,98,I'm not sure
CC24_367a,House second choice,99,No one
CC24_367a,House second choice,998,skipped
CC24_367a,House second choice,999,not asked
CC24_367a_t,House second choice - open,NA,NA
CC24_368,Residency,1,Less than 1 month
CC24_368,Residency,2,2 to 6 months
CC24_368,Residency,3,7 to 11 months
CC24_368,Residency,4,1 to 2 years
CC24_368,Residency,5,3 to 4 years
CC24_368,Residency,6,5 or more years
CC24_368,Residency,8,skipped
CC24_368,Residency,9,not asked
urbancity,Type of Area Living In,1,City
urbancity,Type of Area Living In,2,Suburb
urbancity,Type of Area Living In,3,Town
urbancity,Type of Area Living In,4,Rural area
urbancity,Type of Area Living In,5,Other
urbancity,Type of Area Living In,8,skipped
urbancity,Type of Area Living In,9,not asked
urbancity_t,Type of Area Living In - open,NA,NA
ideo5,Ideology,1,Very liberal
ideo5,Ideology,2,Liberal
ideo5,Ideology,3,Moderate
ideo5,Ideology,4,Conservative
ideo5,Ideology,5,Very conservative
ideo5,Ideology,6,Not sure
ideo5,Ideology,8,skipped
ideo5,Ideology,9,not asked
parent_1,"Yes, of at least one child younger than 18 years old",1,selected
parent_1,"Yes, of at least one child younger than 18 years old",2,not selected
parent_1,"Yes, of at least one child younger than 18 years old",8,skipped
parent_1,"Yes, of at least one child younger than 18 years old",9,not asked
parent_2,"Yes, of at least one child 18 years old or older",1,selected
parent_2,"Yes, of at least one child 18 years old or older",2,not selected
parent_2,"Yes, of at least one child 18 years old or older",8,skipped
parent_2,"Yes, of at least one child 18 years old or older",9,not asked
parent_97,"No, I am neither a parent or guardian",1,selected
parent_97,"No, I am neither a parent or guardian",2,not selected
parent_97,"No, I am neither a parent or guardian",8,skipped
parent_97,"No, I am neither a parent or guardian",9,not asked
child18,Children under age 18 in household,1,Yes
child18,Children under age 18 in household,2,No
child18,Children under age 18 in household,8,skipped
child18,Children under age 18 in household,9,not asked
employ,Employment Status,1,Full-time
employ,Employment Status,2,Part-time
employ,Employment Status,3,Temporarily laid off
employ,Employment Status,4,Unemployed
employ,Employment Status,5,Retired
employ,Employment Status,6,Permanently disabled
employ,Employment Status,7,Homemaker
employ,Employment Status,8,Student
employ,Employment Status,9,Other
employ,Employment Status,98,skipped
employ,Employment Status,99,not asked
employ_t,Employment Status - open,NA,NA
hadjob,Had job in past 5 years,1,Yes
hadjob,Had job in past 5 years,2,No
hadjob,Had job in past 5 years,8,skipped
hadjob,Had job in past 5 years,9,not asked
investor,Stock ownership,1,Yes
investor,Stock ownership,2,No
investor,Stock ownership,99,Not asked
investor,Stock ownership,998,skipped
investor,Stock ownership,999,not asked
pew_bornagain,Born Again (Pew version),1,Yes
pew_bornagain,Born Again (Pew version),2,No
pew_bornagain,Born Again (Pew version),8,skipped
pew_bornagain,Born Again (Pew version),9,not asked
pew_religimp,Importance of religion (Pew version),1,Very important
pew_religimp,Importance of religion (Pew version),2,Somewhat important
pew_religimp,Importance of religion (Pew version),3,Not too important
pew_religimp,Importance of religion (Pew version),4,Not at all important
pew_religimp,Importance of religion (Pew version),8,skipped
pew_religimp,Importance of religion (Pew version),9,not asked
pew_churatd,Church attendance (Pew version),1,More than once a week
pew_churatd,Church attendance (Pew version),2,Once a week
pew_churatd,Church attendance (Pew version),3,Once or twice a month
pew_churatd,Church attendance (Pew version),4,A few times a year
pew_churatd,Church attendance (Pew version),5,Seldom
pew_churatd,Church attendance (Pew version),6,Never
pew_churatd,Church attendance (Pew version),7,Don't know
pew_churatd,Church attendance (Pew version),98,skipped
pew_churatd,Church attendance (Pew version),99,not asked
pew_prayer,Frequency of Prayer (Pew version),1,Several times a day
pew_prayer,Frequency of Prayer (Pew version),2,Once a day
pew_prayer,Frequency of Prayer (Pew version),3,A few times a week
pew_prayer,Frequency of Prayer (Pew version),4,Once a week
pew_prayer,Frequency of Prayer (Pew version),5,A few times a month
pew_prayer,Frequency of Prayer (Pew version),6,Seldom
pew_prayer,Frequency of Prayer (Pew version),7,Never
pew_prayer,Frequency of Prayer (Pew version),8,Don't know
pew_prayer,Frequency of Prayer (Pew version),98,skipped
pew_prayer,Frequency of Prayer (Pew version),99,not asked
religpew,Religion,1,Protestant
religpew,Religion,2,Roman Catholic
religpew,Religion,3,Mormon
religpew,Religion,4,Eastern or Greek Orthodox
religpew,Religion,5,Jewish
religpew,Religion,6,Muslim
religpew,Religion,7,Buddhist
religpew,Religion,8,Hindu
religpew,Religion,9,Atheist
religpew,Religion,10,Agnostic
religpew,Religion,11,Nothing in particular
religpew,Religion,12,Something else
religpew,Religion,98,skipped
religpew,Religion,99,not asked
religpew_t,Pew religion - open,NA,NA
religpew_protestant,Protestant Church,1,Baptist
religpew_protestant,Protestant Church,2,Methodist
religpew_protestant,Protestant Church,3,Nondenominational or Independent Church
religpew_protestant,Protestant Church,4,Lutheran
religpew_protestant,Protestant Church,5,Presbyterian
religpew_protestant,Protestant Church,6,Pentecostal
religpew_protestant,Protestant Church,7,Episcopalian
religpew_protestant,Protestant Church,8,Church of Christ or Disciples of Christ
religpew_protestant,Protestant Church,9,Congregational or United Church of Christ
religpew_protestant,Protestant Church,10,Holiness
religpew_protestant,Protestant Church,11,Reformed
religpew_protestant,Protestant Church,12,Adventist
religpew_protestant,Protestant Church,13,Jehovah's Witness
religpew_protestant,Protestant Church,90,Something else
religpew_protestant,Protestant Church,98,skipped
religpew_protestant,Protestant Church,99,not asked
religpew_protestant_t,Protestant Church - open,NA,NA
religpew_baptist,Baptist Church,1,Southern Baptist Convention
religpew_baptist,Baptist Church,2,American Baptist Churches in USA
religpew_baptist,Baptist Church,3,National Baptist Convention
religpew_baptist,Baptist Church,4,Progressive Baptist Convention
religpew_baptist,Baptist Church,5,Independent Baptist
religpew_baptist,Baptist Church,6,Baptist General Conference
religpew_baptist,Baptist Church,7,Baptist Missionary Association
religpew_baptist,Baptist Church,8,Conservative Baptist Assoc. of America
religpew_baptist,Baptist Church,9,Free Will Baptist
religpew_baptist,Baptist Church,10,General Association of Regular Baptists
religpew_baptist,Baptist Church,90,Other Baptist
religpew_baptist,Baptist Church,98,skipped
religpew_baptist,Baptist Church,99,not asked
religpew_baptist_t,Baptist Church - open,NA,NA
religpew_methodist,Methodist Church,1,United Methodist Church
religpew_methodist,Methodist Church,2,Free Methodist Church
religpew_methodist,Methodist Church,3,African Methodist Episcopal
religpew_methodist,Methodist Church,4,African Methodist Episcopal Zion
religpew_methodist,Methodist Church,5,Christian Methodist Episcopal Church
religpew_methodist,Methodist Church,90,Other Methodist Church
religpew_methodist,Methodist Church,98,skipped
religpew_methodist,Methodist Church,99,not asked
religpew_methodist_t,Methodist Church - open,NA,NA
religpew_nondenom,Nondenominational or Independent Church,1,Nondenominational evangelical
religpew_nondenom,Nondenominational or Independent Church,2,Nondenominational fundamentalist
religpew_nondenom,Nondenominational or Independent Church,3,Nondenominational charismatic
religpew_nondenom,Nondenominational or Independent Church,4,Interdenominational
religpew_nondenom,Nondenominational or Independent Church,5,Community church
religpew_nondenom,Nondenominational or Independent Church,90,Other
religpew_nondenom,Nondenominational or Independent Church,98,skipped
religpew_nondenom,Nondenominational or Independent Church,99,not asked
religpew_nondenom_t,Nondenominational or Independent Church - open,NA,NA
religpew_lutheran,Lutheran Church,1,Evangelical Lutheran Church in America (ELCA)
religpew_lutheran,Lutheran Church,2,"Lutheran Church, Missouri Synod"
religpew_lutheran,Lutheran Church,3,"Lutheran Church, Wisconsin Synod"
religpew_lutheran,Lutheran Church,4,Other Lutheran Church
religpew_lutheran,Lutheran Church,8,skipped
religpew_lutheran,Lutheran Church,9,not asked
religpew_lutheran_t,Lutheran Church - open,NA,NA
religpew_presby,Presbyterian Church,1,Presbyterian Church USA
religpew_presby,Presbyterian Church,2,Presbyterian Church in America
religpew_presby,Presbyterian Church,3,Associate Reformed Presbyterian
religpew_presby,Presbyterian Church,4,Cumberland Presbyterian Church
religpew_presby,Presbyterian Church,5,Orthodox Presbyterian
religpew_presby,Presbyterian Church,6,Evangelical Presbyterian Church
religpew_presby,Presbyterian Church,90,Other Presbyterian Church
religpew_presby,Presbyterian Church,98,skipped
religpew_presby,Presbyterian Church,99,not asked
religpew_presby_t,Presbyterian Church - open,NA,NA
religpew_pentecost,Pentecostal Church,1,Assemblies of God
religpew_pentecost,Pentecostal Church,2,Church of God Cleveland TN
religpew_pentecost,Pentecostal Church,3,Four Square Gospel
religpew_pentecost,Pentecostal Church,4,Pentecostal Church of God
religpew_pentecost,Pentecostal Church,5,Pentecostal Holiness Church
religpew_pentecost,Pentecostal Church,6,Church of God in Christ
religpew_pentecost,Pentecostal Church,7,Church of God of the Apostolic Faith
religpew_pentecost,Pentecostal Church,8,Assembly of Christian Churches
religpew_pentecost,Pentecostal Church,9,Apostolic Christian
religpew_pentecost,Pentecostal Church,90,Other Pentecostal Church
religpew_pentecost,Pentecostal Church,98,skipped
religpew_pentecost,Pentecostal Church,99,not asked
religpew_pentecost_t,Pentecostal Church - open,NA,NA
religpew_episcop,Episcopal Church,1,Episcopal Church in the USA
religpew_episcop,Episcopal Church,2,Anglican Church (Church of England)
religpew_episcop,Episcopal Church,3,Anglican Orthodox Church
religpew_episcop,Episcopal Church,4,Reformed Episcopal Church
religpew_episcop,Episcopal Church,90,Other Episcopalian or Anglican Church
religpew_episcop,Episcopal Church,98,skipped
religpew_episcop,Episcopal Church,99,not asked
religpew_episcop_t,Episcopal Church - open,NA,NA
religpew_christian,Christian Church,1,Church of Christ
religpew_christian,Christian Church,2,Disciples of Christ
religpew_christian,Christian Church,3,Christian Churches and Churches of Christ
religpew_christian,Christian Church,90,Other Christian church
religpew_christian,Christian Church,98,skipped
religpew_christian,Christian Church,99,not asked
religpew_christian_t,Christian Church - open,NA,NA
religpew_congreg,Congregational Church,1,United Church of Christ
religpew_congreg,Congregational Church,2,Conservative Congregational Christian
religpew_congreg,Congregational Church,3,National Association of Congregational Christians
religpew_congreg,Congregational Church,90,Other Congregational
religpew_congreg,Congregational Church,98,skipped
religpew_congreg,Congregational Church,99,not asked
religpew_congreg_t,Congregational Church - open,NA,NA
religpew_holiness,Holiness Church,1,Church of the Nazarene
religpew_holiness,Holiness Church,2,Wesleyan Church
religpew_holiness,Holiness Church,3,Free Methodist Church
religpew_holiness,Holiness Church,4,Christian and Missionary Alliance
religpew_holiness,Holiness Church,5,"Church of God (Anderson, Indiana)"
religpew_holiness,Holiness Church,6,"Salvation Army, American Rescue workers"
religpew_holiness,Holiness Church,90,Other Holiness
religpew_holiness,Holiness Church,98,skipped
religpew_holiness,Holiness Church,99,not asked
religpew_holiness_t,Holiness Church - open,NA,NA
religpew_reformed,Reformed Church,1,Reformed Church in America
religpew_reformed,Reformed Church,2,Christian Reformed Church
religpew_reformed,Reformed Church,90,Other Reformed
religpew_reformed,Reformed Church,98,skipped
religpew_reformed,Reformed Church,99,not asked
religpew_reformed_t,Reformed Church - open,NA,NA
religpew_advent,Adventist Church,1,Seventh Day Adventist
religpew_advent,Adventist Church,2,"Church of God, General Conference"
religpew_advent,Adventist Church,3,Advent Christian
religpew_advent,Adventist Church,90,Other Adventist
religpew_advent,Adventist Church,98,skipped
religpew_advent,Adventist Church,99,not asked
religpew_advent_t,Adventist Church - open,NA,NA
religpew_catholic,Catholic Church,1,Roman Catholic Church
religpew_catholic,Catholic Church,2,National Polish Catholic Church
religpew_catholic,Catholic Church,3,Greek-rite Catholic
religpew_catholic,Catholic Church,4,Armenian Catholic
religpew_catholic,Catholic Church,5,Old Catholic
religpew_catholic,Catholic Church,90,Other Catholic
religpew_catholic,Catholic Church,98,skipped
religpew_catholic,Catholic Church,99,not asked
religpew_catholic_t,Catholic Church - open,NA,NA
religpew_mormon,Mormon Church,1,The Church of Jesus Christ of Latter-day Saints
religpew_mormon,Mormon Church,2,Community of Christ
religpew_mormon,Mormon Church,90,Other Mormon
religpew_mormon,Mormon Church,98,skipped
religpew_mormon,Mormon Church,99,not asked
religpew_mormon_t,Mormon Church - open,NA,NA
religpew_orthodox,Orthodox Church,1,Greek Orthodox
religpew_orthodox,Orthodox Church,2,Russian Orthodox
religpew_orthodox,Orthodox Church,3,Orthodox Church in America
religpew_orthodox,Orthodox Church,4,Armenian Orthodox
religpew_orthodox,Orthodox Church,5,Eastern Orthodox
religpew_orthodox,Orthodox Church,6,Serbian Orthodox
religpew_orthodox,Orthodox Church,90,Other Orthodox
religpew_orthodox,Orthodox Church,98,skipped
religpew_orthodox,Orthodox Church,99,not asked
religpew_orthodox_t,Orthodox Church - open,NA,NA
religpew_jewish,Jewish Group,1,Reform
religpew_jewish,Jewish Group,2,Conservative
religpew_jewish,Jewish Group,3,Orthodox
religpew_jewish,Jewish Group,4,Reconstructionist
religpew_jewish,Jewish Group,90,Other
religpew_jewish,Jewish Group,98,skipped
religpew_jewish,Jewish Group,99,not asked
religpew_jewish_t,Jewish Group - open,NA,NA
religpew_muslim,Muslim Group,1,Sunni
religpew_muslim,Muslim Group,2,Shia
religpew_muslim,Muslim Group,3,Nation of Islam (Black Muslim)
religpew_muslim,Muslim Group,90,Other Muslim
religpew_muslim,Muslim Group,98,skipped
religpew_muslim,Muslim Group,99,not asked
religpew_muslim_t,Muslim Group - open,NA,NA
religpew_buddhist,Buddhist group,1,Theravada (Vipassana) Buddhism
religpew_buddhist,Buddhist group,2,Mahayana (Zen) Buddhism
religpew_buddhist,Buddhist group,3,Vajrayana (Tibetan) Buddhism
religpew_buddhist,Buddhist group,90,Other Buddhist
religpew_buddhist,Buddhist group,98,skipped
religpew_buddhist,Buddhist group,99,not asked
religpew_buddhist_t,Buddhist group - open,NA,NA
religpew_hindu,Hindu Group,1,Vaishnava Hinduism
religpew_hindu,Hindu Group,2,Shaivite Hinduism
religpew_hindu,Hindu Group,3,Shaktism Hinduism
religpew_hindu,Hindu Group,90,Other Hindu
religpew_hindu,Hindu Group,98,skipped
religpew_hindu,Hindu Group,99,not asked
religpew_hindu_t,Hindu Group - open,NA,NA
marstat,Marital Status,1,Married
marstat,Marital Status,2,Separated
marstat,Marital Status,3,Divorced
marstat,Marital Status,4,Widowed
marstat,Marital Status,5,Never married
marstat,Marital Status,6,Domestic / civil partnership
marstat,Marital Status,8,skipped
marstat,Marital Status,9,not asked
union,Labor union member,1,"Yes, I am currently a member of a labor union"
union,Labor union member,2,I formerly was a member of a labor union
union,Labor union member,3,"I am not now, nor have I been, a member of a labor union"
union,Labor union member,8,skipped
union,Labor union member,9,not asked
union_coverage,Covered by union contract,1,Yes
union_coverage,Covered by union contract,2,No
union_coverage,Covered by union contract,3,Not sure
union_coverage,Covered by union contract,8,skipped
union_coverage,Covered by union contract,9,not asked
unionhh,Family labor union member,1,"Yes, a member of my household is currently a union member"
unionhh,Family labor union member,2,"A member of my household was formerly a member of a labor union, but is not now"
unionhh,Family labor union member,3,"No, no one in my household has ever been a member of a labor union"
unionhh,Family labor union member,4,Not sure
unionhh,Family labor union member,8,skipped
unionhh,Family labor union member,9,not asked
ownhome,Home ownership,1,Own
ownhome,Home ownership,2,Rent
ownhome,Home ownership,3,Other
ownhome,Home ownership,8,skipped
ownhome,Home ownership,9,not asked
ownhome_t,Home ownership - open,NA,NA
newsint,Political Interest,1,Most of the time
newsint,Political Interest,2,Some of the time
newsint,Political Interest,3,Only now and then
newsint,Political Interest,4,Hardly at all
newsint,Political Interest,7,Don't know
newsint,Political Interest,98,skipped
newsint,Political Interest,99,not asked
faminc_new,Family income,1,"Less than $10,000"
faminc_new,Family income,2,"$10,000 - $19,999"
faminc_new,Family income,3,"$20,000 - $29,999"
faminc_new,Family income,4,"$30,000 - $39,999"
faminc_new,Family income,5,"$40,000 - $49,999"
faminc_new,Family income,6,"$50,000 - $59,999"
faminc_new,Family income,7,"$60,000 - $69,999"
faminc_new,Family income,8,"$70,000 - $79,999"
faminc_new,Family income,9,"$80,000 - $99,999"
faminc_new,Family income,10,"$100,000 - $119,999"
faminc_new,Family income,11,"$120,000 - $149,999"
faminc_new,Family income,12,"$150,000 - $199,999"
faminc_new,Family income,13,"$200,000 - $249,999"
faminc_new,Family income,14,"$250,000 - $349,999"
faminc_new,Family income,15,"$350,000 - $499,999"
faminc_new,Family income,16,"$500,000 or more"
faminc_new,Family income,97,Prefer not to say
faminc_new,Family income,998,skipped
faminc_new,Family income,999,not asked
milstat_1,Military Household - I am,1,selected
milstat_1,Military Household - I am,2,not selected
milstat_1,Military Household - I am,8,skipped
milstat_1,Military Household - I am,9,not asked
milstat_2,Military Household - Family,1,selected
milstat_2,Military Household - Family,2,not selected
milstat_2,Military Household - Family,8,skipped
milstat_2,Military Household - Family,9,not asked
milstat_3,Military Household - I served previously,1,selected
milstat_3,Military Household - I served previously,2,not selected
milstat_3,Military Household - I served previously,8,skipped
milstat_3,Military Household - I served previously,9,not asked
milstat_4,Military Household - Family served previously,1,selected
milstat_4,Military Household - Family served previously,2,not selected
milstat_4,Military Household - Family served previously,8,skipped
milstat_4,Military Household - Family served previously,9,not asked
milstat_5,Military Household - None,1,selected
milstat_5,Military Household - None,2,not selected
milstat_5,Military Household - None,8,skipped
milstat_5,Military Household - None,9,not asked
healthins_1,Health insurance - Through job,1,selected
healthins_1,Health insurance - Through job,2,not selected
healthins_1,Health insurance - Through job,8,skipped
healthins_1,Health insurance - Through job,9,not asked
healthins_2,Health insurance - Govt program,1,selected
healthins_2,Health insurance - Govt program,2,not selected
healthins_2,Health insurance - Govt program,8,skipped
healthins_2,Health insurance - Govt program,9,not asked
healthins_3,Health insurance - Through school,1,selected
healthins_3,Health insurance - Through school,2,not selected
healthins_3,Health insurance - Through school,8,skipped
healthins_3,Health insurance - Through school,9,not asked
healthins_4,Health insurance - Purchase on own,1,selected
healthins_4,Health insurance - Purchase on own,2,not selected
healthins_4,Health insurance - Purchase on own,8,skipped
healthins_4,Health insurance - Purchase on own,9,not asked
healthins_5,Health insurance - Not sure,1,selected
healthins_5,Health insurance - Not sure,2,not selected
healthins_5,Health insurance - Not sure,8,skipped
healthins_5,Health insurance - Not sure,9,not asked
healthins_6,Health insurance - No,1,selected
healthins_6,Health insurance - No,2,not selected
healthins_6,Health insurance - No,8,skipped
healthins_6,Health insurance - No,9,not asked
mena,Middle Eastern or North African,1,Yes
mena,Middle Eastern or North African,2,No
mena,Middle Eastern or North African,8,skipped
mena,Middle Eastern or North African,9,not asked
mena_origin_1,Middle Eastern or Northern African heritage - Afghan,1,selected
mena_origin_1,Middle Eastern or Northern African heritage - Afghan,2,not selected
mena_origin_1,Middle Eastern or Northern African heritage - Afghan,8,skipped
mena_origin_1,Middle Eastern or Northern African heritage - Afghan,9,not asked
mena_origin_2,Middle Eastern or Northern African heritage - Egyptian,1,selected
mena_origin_2,Middle Eastern or Northern African heritage - Egyptian,2,not selected
mena_origin_2,Middle Eastern or Northern African heritage - Egyptian,8,skipped
mena_origin_2,Middle Eastern or Northern African heritage - Egyptian,9,not asked
mena_origin_3,Middle Eastern or Northern African heritage - Iranian,1,selected
mena_origin_3,Middle Eastern or Northern African heritage - Iranian,2,not selected
mena_origin_3,Middle Eastern or Northern African heritage - Iranian,8,skipped
mena_origin_3,Middle Eastern or Northern African heritage - Iranian,9,not asked
mena_origin_4,Middle Eastern or Northern African heritage - Iraqi,1,selected
mena_origin_4,Middle Eastern or Northern African heritage - Iraqi,2,not selected
mena_origin_4,Middle Eastern or Northern African heritage - Iraqi,8,skipped
mena_origin_4,Middle Eastern or Northern African heritage - Iraqi,9,not asked
mena_origin_5,Middle Eastern or Northern African heritage - Israeli,1,selected
mena_origin_5,Middle Eastern or Northern African heritage - Israeli,2,not selected
mena_origin_5,Middle Eastern or Northern African heritage - Israeli,8,skipped
mena_origin_5,Middle Eastern or Northern African heritage - Israeli,9,not asked
mena_origin_6,Middle Eastern or Northern African heritage - Lebanese,1,selected
mena_origin_6,Middle Eastern or Northern African heritage - Lebanese,2,not selected
mena_origin_6,Middle Eastern or Northern African heritage - Lebanese,8,skipped
mena_origin_6,Middle Eastern or Northern African heritage - Lebanese,9,not asked
mena_origin_7,Middle Eastern or Northern African heritage - Moroccan,1,selected
mena_origin_7,Middle Eastern or Northern African heritage - Moroccan,2,not selected
mena_origin_7,Middle Eastern or Northern African heritage - Moroccan,8,skipped
mena_origin_7,Middle Eastern or Northern African heritage - Moroccan,9,not asked
mena_origin_8,Middle Eastern or Northern African heritage - Palestinian,1,selected
mena_origin_8,Middle Eastern or Northern African heritage - Palestinian,2,not selected
mena_origin_8,Middle Eastern or Northern African heritage - Palestinian,8,skipped
mena_origin_8,Middle Eastern or Northern African heritage - Palestinian,9,not asked
mena_origin_9,Middle Eastern or Northern African heritage - Somali,1,selected
mena_origin_9,Middle Eastern or Northern African heritage - Somali,2,not selected
mena_origin_9,Middle Eastern or Northern African heritage - Somali,8,skipped
mena_origin_9,Middle Eastern or Northern African heritage - Somali,9,not asked
mena_origin_10,Middle Eastern or Northern African heritage - Syrian,1,selected
